lon,lat,u,v,time
-50.126006700000005,53.3890067,,,20140705_091600
-50.126031700000006,53.38899670000001,,,20140705_091610
-50.1260667,53.3889733,,,20140705_091610
-50.126084999999996,53.388968299999995,,,20140705_091620
-50.126116700000004,53.388943299999994,,,20140705_091620
-50.1261283,53.388935,,,20140705_091620
-50.126141700000005,53.388909999999996,,,20140705_091630
-50.126168299999996,53.3888717,,,20140705_091640
-50.126186700000005,53.388835,,,20140705_091650
-50.126206700000004,53.3888267,,,20140705_091700
-50.12622329999999,53.388825,,,20140705_091700
-50.126235,53.3888083,,,20140705_091700
-50.126255,53.388794999999995,,,20140705_091710
-50.12781,53.3831833,0.0,0.0,20140705_100850
-50.127816700000004,53.3831567,,,20140705_100910
-50.1278217,53.383134999999996,,,20140705_100910
-50.1278217,53.383108299999996,,,20140705_100920
-50.127841700000005,53.383084999999994,,,20140705_100920
-50.12786,53.3830583,,,20140705_100930
-50.1278833,53.3830433,,,20140705_100930
-50.12789,53.383015,,,20140705_100930
-50.1278917,53.38296999999999,,,20140705_100940
-50.1279183,53.382943299999994,,,20140705_100940
-50.1279417,53.38288670000001,,,20140705_100950
-50.12795,53.3828967,,,20140705_101000
-50.127951700000004,53.382875,,,20140705_101000
-50.127975,53.38285,,,20140705_101010
-50.1279867,53.3828333,,,20140705_101010
-50.127990000000004,53.3828,,,20140705_101020
-50.128,53.382788299999994,,,20140705_101020
-50.127995,53.382793299999996,,,20140705_101030
-50.12797,53.38277829999999,,,20140705_101030
-50.128029999999995,53.382735,,,20140705_101030
-50.128043299999995,53.382690000000004,,,20140705_101040
-50.12802670000001,53.3826767,,,20140705_101050
-50.128043299999995,53.38264670000001,,,20140705_101050
-50.1280383,53.3826083,,,20140705_101100
-50.127973299999994,53.38256,,,20140705_101100
-50.127975,53.382543299999995,,,20140705_101110
-50.1280167,53.3825267,,,20140705_101110
-50.12814829999999,53.382516700000004,,,20140705_101120
-50.1280983,53.38246329999999,,,20140705_101120
-50.1280917,53.382458299999996,,,20140705_101120
-50.1280833,53.382431700000005,,,20140705_101130
-50.128106700000004,53.38241,,,20140705_101130
-50.1281283,53.38238670000001,,,20140705_101140
-50.1281283,53.382369999999995,,,20140705_101150
-50.12812329999999,53.3823233,,,20140705_101150
-50.128131700000004,53.38231329999999,,,20140705_101200
-50.1281167,53.38231329999999,,,20140705_101200
-50.12813,53.38231,,,20140705_101210
-50.12814,53.382290000000005,,,20140705_101210
-50.1281467,53.382271700000004,,,20140705_101220
-50.12815,53.382253299999995,,,20140705_101220
-50.128155,53.38223670000001,,,20140705_101220
-50.128158299999996,53.38222,,,20140705_101230
-50.1281617,53.382201699999996,,,20140705_101230
-50.1281667,53.382185,,,20140705_101240
-50.1284383,53.3816183,,,20140705_101520
-50.12842,53.3815917,,,20140705_101530
-50.12843170000001,53.3815683,0.0,0.0,20140705_102540
-50.129305,53.37826,,,20140705_102630
-50.1293133,53.37823670000001,,,20140705_102630
-50.1293217,53.37822,,,20140705_102640
-50.129341700000005,53.37818829999999,,,20140705_102650
-50.129345,53.3781733,,,20140705_102650
-50.129343299999995,53.378135,,,20140705_102700
-50.129343299999995,53.378106700000004,,,20140705_102700
-50.1293567,53.3780833,,,20140705_102710
-50.129365,53.37806,,,20140705_102710
-50.1293733,53.37803829999999,,,20140705_102710
-50.1293817,53.378015000000005,,,20140705_102720
-50.12939,53.3779917,,,20140705_102720
-50.1293983,53.37797,,,20140705_102730
-50.12948170000001,53.37798829999999,,,20140705_102740
-50.1294683,53.37795500000001,,,20140705_102740
-50.1294783,53.37791329999999,,,20140705_102750
-50.129498299999995,53.37788670000001,,,20140705_102750
-50.1295167,53.37789,,,20140705_102800
-50.1295317,53.377863299999994,,,20140705_102800
-50.12956,53.37784499999999,,,20140705_102810
-50.12957670000001,53.37782829999999,,,20140705_102810
-50.129593299999996,53.3778033,,,20140705_102810
-50.129585,53.37778170000001,,,20140705_102820
-50.1295667,53.37771,,,20140705_102830
-50.1295667,53.37772,,,20140705_102830
-50.129563299999994,53.37771329999999,,,20140705_102840
-50.1296683,53.3777083,,,20140705_102840
-50.129655,53.37768829999999,,,20140705_102850
-50.1296617,53.377668299999996,,,20140705_102850
-50.129683299999996,53.377655000000004,,,20140705_102900
-50.1297,53.37764670000001,,,20140705_102900
-50.1297217,53.377615000000006,,,20140705_102900
-50.1297317,53.3776067,,,20140705_102910
-50.1297467,53.377590000000005,,,20140705_102920
-50.129765,53.377559999999995,,,20140705_102920
-50.129785,53.377531700000006,,,20140705_102930
-50.1298033,53.3775167,,,20140705_102930
-50.1298067,53.37751329999999,,,20140705_102940
-50.1298067,53.37749670000001,,,20140705_102940
-50.1297983,53.3774517,,,20140705_102950
-50.129815,53.37742829999999,,,20140705_102950
-50.1298267,53.377419999999994,,,20140705_103000
-50.129836700000006,53.377390000000005,,,20140705_103000
-50.1298433,53.3773583,,,20140705_103000
-50.129865,53.3773583,,,20140705_103010
-50.129876700000004,53.377355,,,20140705_103020
-50.12990670000001,53.3773233,,,20140705_103020
-50.12990670000001,53.377285,,,20140705_103030
-50.129901700000005,53.37727170000001,,,20140705_103030
-50.1299167,53.37724670000001,,,20140705_103040
-50.12993170000001,53.37722170000001,,,20140705_103040
-50.129948299999995,53.377196700000006,,,20140705_103050
-50.1299633,53.3771733,,,20140705_103050
-50.1299783,53.3771483,,,20140705_103050
-50.129993299999995,53.3771233,,,20140705_103100
-50.15285170000001,53.39075,,,20140705_122250
-50.15290170000001,53.39074,,,20140705_122250
-50.152925,53.3907267,,,20140705_122300
-50.15296,53.390705000000004,,,20140705_122300
-50.1529933,53.39068670000001,,,20140705_122310
-50.15303,53.390671700000006,,,20140705_122310
-50.153055,53.3906533,,,20140705_122320
-50.153105,53.390609999999995,,,20140705_122330
-50.15312670000001,53.39059,,,20140705_122330
-50.153161700000005,53.3905733,,,20140705_122340
-50.1532,53.39056329999999,,,20140705_122340
-50.1532417,53.39053829999999,,,20140705_122350
-50.153273299999995,53.3905183,,,20140705_122350
-50.1533,53.3904983,,,20140705_122400
-50.15567670000001,53.38904,-0.0556446,0.0170443,20140705_123040
-50.1556983,53.389025,,,20140705_123040
-50.155713299999995,53.388994999999994,,,20140705_123050
-50.1557517,53.388965,,,20140705_123050
-50.155823299999994,53.388971700000006,,,20140705_123100
-50.1558383,53.388941700000004,,,20140705_123110
-50.1558783,53.38890670000001,,,20140705_123110
-50.15590170000001,53.3888917,,,20140705_123120
-50.1559067,53.388883299999996,,,20140705_123120
-50.15583170000001,53.388896700000004,,,20140705_123130
-50.15585170000001,53.388858299999995,,,20140705_123130
-50.1559933,53.38882829999999,,,20140705_123140
-50.1560417,53.388788299999995,,,20140705_123140
-50.156066700000004,53.388766700000005,,,20140705_123140
-50.1561067,53.388746700000006,,,20140705_123150
-50.1561483,53.3887267,,,20140705_123150
-50.156105,53.388746700000006,,,20140705_123200
-50.156165,53.38868170000001,,,20140705_123210
-50.156195000000004,53.38869329999999,,,20140705_123210
-50.15623,53.38868829999999,,,20140705_123220
-50.1562633,53.3886517,,,20140705_123220
-50.1562867,53.38860329999999,,,20140705_123230
-50.1563217,53.38858829999999,,,20140705_123230
-50.156361700000005,53.38858829999999,,,20140705_123240
-50.156388299999996,53.3885917,,,20140705_123240
-50.1563683,53.38858829999999,,,20140705_123240
-50.1564217,53.3885517,,,20140705_123250
-50.1564717,53.388543299999995,,,20140705_123300
-50.156523299999996,53.38851999999999,,,20140705_123300
-50.1565667,53.3884983,,,20140705_123310
-50.156585,53.38847,,,20140705_123310
-50.1565717,53.388394999999996,,,20140705_123320
-50.15659,53.3883917,,,20140705_123320
-50.15665,53.3884267,,,20140705_123330
-50.1567383,53.388375,,,20140705_123330
-50.156890000000004,53.388284999999996,,,20140705_123330
-50.156805,53.3883267,,,20140705_123340
-50.15682,53.388305,,,20140705_123340
-50.156825,53.388305,,,20140705_123350
-50.156859999999995,53.3882767,,,20140705_123400
-50.1568917,53.3882483,,,20140705_123400
-50.156923299999995,53.38822170000001,,,20140705_123410
-50.1569567,53.388194999999996,,,20140705_123410
-50.156988299999995,53.3881667,,,20140705_123420
-50.15702,53.38814,,,20140705_123420
-50.174291700000005,53.40428829999999,,,20140705_141900
-50.174315,53.404321700000004,,,20140705_141900
-50.1743433,53.4043333,,,20140705_141910
-50.1743667,53.40436,,,20140705_141910
-50.1744117,53.40434499999999,,,20140705_141920
-50.17447670000001,53.40431329999999,,,20140705_141920
