time,lat,lon,log,battery,u,v,wptLat,wptLon
20191204_212325,50.42963333333334,-47.93663333333334,0266.0000,99.2295953309577,-0.0017963169653476602,0.00141967381762945,56.22328333333333,-47.64573333333333
20191204_214111,50.42963333333334,-47.93663333333334,0266.0001,99.2156846173077,-0.0017963169653476602,0.00141967381762945,56.22328333333333,-47.64573333333333
20191205_065326,50.49393333333335,-47.90246666666667,0266.0002,99.0860774848048,0.00176587207422955,-0.0750732764428003,56.22328333333333,-47.64573333333333
20191205_104820,50.51776666666667,-47.87755,0266.0003,99.02036912004559,0.0281669373053862,-0.11679194840759,56.22328333333333,-47.64573333333333
20191205_154757,50.54810000000001,-47.8628,0266.0004,98.95194653006229,0.0141024138895533,-0.0811123694516994,56.22328333333333,-47.64573333333333
20191205_222638,50.58921666666666,-47.83533333333333,0266.0005,98.8527619942638,0.0306362917004401,-0.10624285585657599,56.22328333333333,-47.64573333333333
20191206_031127,50.61316666666666,-47.82233333333333,0266.0006,98.7862620117024,-0.0140616256589345,-0.12447320053267699,56.22328333333333,-47.64573333333333
20191206_105628,50.66333333333334,-47.80921666666666,0266.0007,98.67079180666781,-0.0516109883902378,-0.0764903452436821,56.22328333333333,-47.64573333333333
20191206_154057,50.693250000000006,-47.78633333333334,0266.0008,98.6046310142717,-0.00589790514377091,-0.0770152991859607,56.22328333333333,-47.64573333333333
20191206_223845,50.73408333333333,-47.75060000000001,0266.0009,98.5005834206554,0.00741767454790018,-0.113666941835443,56.22328333333333,-47.64573333333333
20191207_033249,50.76193333333334,-47.72453333333333,0266.0011,98.43193458279379,0.0564424500667326,-0.0984297961509031,56.22328333333333,-47.64573333333333
20191207_120023,50.8158,-47.68476666666667,0266.0012,98.30707745228901,0.0586633816322241,-0.12140455515019401,56.22328333333333,-47.64573333333333
20191207_211344,50.881400000000006,-47.65773333333334,0266.0013,98.1812025242233,0.0368209052400073,-0.0718024945864944,56.22328333333333,-47.64573333333333
