time,lon,lat
1565224419,-58.0002,50.2533
1565228377,-58.0117,50.2540
1565231999,-58.0236,50.2547
1565235681,-58.0357,50.2553
1565239982,-58.0452,50.2568
1565243886,-58.0576,50.2569
1565247664,-58.0705,50.2569
1565251322,-58.0830,50.2569
1565254859,-58.0901,50.2583
1565258933,-58.1043,50.2578
1565262661,-58.1185,50.2569
1565266047,-58.1315,50.2562
1565270000,-58.1378,50.2563
1565274978,-58.1464,50.2494
1565279468,-58.1549,50.2428
1565283812,-58.1632,50.2365
1565287123,-58.1618,50.2379
1565291957,-58.1697,50.2306
1565296247,-58.1774,50.2237
1565300553,-58.1851,50.2167
1565302765,-58.1869,50.2146
1565308032,-58.1950,50.2058
1565312437,-58.2022,50.1982
1565318195,-58.2116,50.1904
1565322942,-58.2165,50.1832
1565327245,-58.2208,50.1763
1565332145,-58.2252,50.1699
1565336945,-58.2315,50.1630
1565341323,-58.2378,50.1566
1565345468,-58.2438,50.1505
1565346669,-58.2444,50.1491
1565351418,-58.2485,50.1419
1565356213,-58.2528,50.1341
1565361604,-58.2599,50.1255
1565366180,-58.2609,50.1172
1565370170,-58.2613,50.1097
1565373921,-58.2617,50.1027
1565377913,-58.2589,50.0992
1565382029,-58.2650,50.0942
1565385575,-58.2717,50.0890
1565388922,-58.2780,50.0841
1565392165,-58.2841,50.0794
1565396106,-58.2899,50.0735
1565399557,-58.2986,50.0679
1565402893,-58.3069,50.0625
1565405353,-58.3131,50.0585
1565408003,-58.3183,50.0546
1565411686,-58.3254,50.0490
1565414908,-58.3322,50.0442
1565417677,-58.3381,50.0400
1565420737,-58.3446,50.0354
1565421785,-58.3464,50.0345
1565423819,-58.3511,50.0313
1565427119,-58.3586,50.0261
1565429966,-58.3650,50.0216
1565433027,-58.3720,50.0168
1565436579,-58.3791,50.0126
1565440008,-58.3875,50.0073
1565443024,-58.3962,50.0017
1565446272,-58.4055,49.9957
1565449294,-58.4142,49.9902
1565450795,-58.4167,49.9878
1565454308,-58.4242,49.9818
1565457591,-58.4322,49.9761
1565460342,-58.4390,49.9712
1565463424,-58.4466,49.9658
1565466313,-58.4503,49.9607
1565469876,-58.4393,49.9669
1565473129,-58.4288,49.9731
1565475681,-58.4205,49.9779
1565478511,-58.4113,49.9833
1565482437,-58.4046,49.9903
1565485375,-58.3982,49.9950
1565488643,-58.3893,50.0008
1565491332,-58.3820,50.0056
1565494429,-58.3736,50.0112
1565496558,-58.3673,50.0167
1565500200,-58.3755,50.0119
1565503380,-58.3835,50.0071
1565506318,-58.3909,50.0027
1565509425,-58.3987,49.9980
1565512216,-58.4039,49.9937
1565515139,-58.4099,49.9893
1565518277,-58.4172,49.9846
1565521235,-58.4241,49.9802
1565524403,-58.4315,49.9755
1565526350,-58.4361,49.9727
1565529833,-58.4444,49.9659
1565533012,-58.4519,49.9596
1565535513,-58.4579,49.9546
1565537979,-58.4637,49.9497
