time,lat,lon,log,battery,u,v,wptLat,wptLon
Wed Dec  4 21:23:25 2019 MT,50.42963333333334,-47.93663333333334,0266.0000,99.2295953309577,-0.00179631696534766,0.00141967381762945,56.22328333333333,-47.64573333333333
Wed Dec  4 21:41:11 2019 MT,50.42963333333334,-47.93663333333334,0266.0001,99.2156846173077,-0.00179631696534766,0.00141967381762945,56.22328333333333,-47.64573333333333
Thu Dec  5 06:53:26 2019 MT,50.493933333333345,-47.90246666666667,0266.0002,99.0860774848048,0.00176587207422955,-0.0750732764428003,56.22328333333333,-47.64573333333333
Thu Dec  5 10:48:20 2019 MT,50.51776666666667,-47.87755,0266.0003,99.0203691200456,0.0281669373053862,-0.11679194840759,56.22328333333333,-47.64573333333333
Thu Dec  5 15:47:57 2019 MT,50.54810000000001,-47.8628,0266.0004,98.9519465300623,0.0141024138895533,-0.0811123694516994,56.22328333333333,-47.64573333333333
Thu Dec  5 22:26:38 2019 MT,50.589216666666665,-47.83533333333333,0266.0005,98.8527619942638,0.0306362917004401,-0.106242855856576,56.22328333333333,-47.64573333333333
Fri Dec  6 03:11:27 2019 MT,50.613166666666665,-47.82233333333333,0266.0006,98.7862620117024,-0.0140616256589345,-0.124473200532677,56.22328333333333,-47.64573333333333
Fri Dec  6 10:56:28 2019 MT,50.66333333333334,-47.809216666666664,0266.0007,98.6707918066678,-0.0516109883902378,-0.0764903452436821,56.22328333333333,-47.64573333333333
Fri Dec  6 15:40:57 2019 MT,50.693250000000006,-47.78633333333334,0266.0008,98.6046310142717,-0.00589790514377091,-0.0770152991859607,56.22328333333333,-47.64573333333333
Fri Dec  6 22:38:45 2019 MT,50.73408333333333,-47.750600000000006,0266.0009,98.5005834206554,0.00741767454790018,-0.113666941835443,56.22328333333333,-47.64573333333333
Sat Dec  7 03:32:49 2019 MT,50.76193333333334,-47.72453333333333,0266.0011,98.4319345827938,0.0564424500667326,-0.0984297961509031,56.22328333333333,-47.64573333333333
Sat Dec  7 12:00:23 2019 MT,50.8158,-47.68476666666667,0266.0012,98.307077452289,0.0586633816322241,-0.121404555150194,56.22328333333333,-47.64573333333333
