Time,Lat,Long,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,CTTemp,CTCond,O2Con,O2Air,O2Temp,AirPressure,AirTemp,WindDirection,WindSpeed,WindGust,Heading,AirFix,
2019-12-04 08:25:51,50.17614,-48.47091,20,0,0,0,250,0.024,13.3,8,7.027,,270.1,91,7.79,993.9,6.4,160,8,10,360,1,
2019-12-04 09:00:00,50.1978,-48.41568,12,3,0,1,210,0.022,13.2,8,7.377,,271.4,90.5,7.32,989.9,5.8,240,13,16,255,1,
2019-12-04 09:30:00,50.2407,-48.30462,12,6,0,1,200,0.02,13.2,8,7.746,,269.4,90.5,7.57,990.2,6.2,245,10,12,255,1,
2019-12-04 09:45:59,50.26374,-48.2445,12,0,0,0,250,0.024,13.2,9,8.015,,268.1,90.5,7.76,987.8,6.5,245,11,14,256,1,
2019-12-04 10:30:00,50.33043,-48.07815,13,2,0,1,120,0.022,13.3,8,8.308,,265.4,90.5,8.17,990.4,6.7,225,13,30,254,1,
2019-12-04 11:41:10,50.36307,-47.95725,11,0,0,0,350,0.024,13.3,9,8.62,,263.1,90.5,8.59,988.1,6.7,205,13,13,358,1,
2019-12-04 12:30:00,50.3712,-47.98974,12,2,0,1,350,0.02,13.3,8,6.723,34.02,277.8,91.5,6.74,986.8,6.2,200,10,13,266,1,
2019-12-04 13:30:00,50.37213,-47.98629,11,4,0,1,240,0.02,13.5,7,6.694,34.02,277.7,91.5,6.71,986.7,5.7,175,14,19,145,1,
2019-12-04 14:30:00,50.36994,-47.96934,11,6,0,1,250,0.02,13.6,7,6.778,34.07,276.6,91.5,6.79,984.4,5.4,200,11,14,278,1,
2019-12-04 15:30:00,50.37093,-47.97753,12,8,0,1,250,0.02,13.8,8,6.617,33.96,277.3,91,6.63,982.7,5.3,195,8,11,291,1,
2019-12-04 16:30:00,50.37489,-48.03012,12,10,0,1,350,0.02,13.9,7,6.269,33.68,280.7,91.5,6.28,986.4,5.3,0,11,11,272,0,
2019-12-04 17:30:00,50.3679,-47.97867,37,12,0,1,380,0.02,14,7,6.336,33.73,279.7,91.5,6.35,986.9,5.5,0,9,9,21,0,
2019-12-04 18:30:00,50.36712,-48.01344,12,14,0,1,240,0.02,13.8,7,6.265,33.67,282,92,6.28,987.2,5.8,205,11,13,310,1,
2019-12-04 19:30:00,50.35752,-47.96199,13,16,0,1,350,0.02,13.7,7,6.573,33.91,278.4,91.5,6.59,985.1,5.5,215,14,19,106,1,
2019-12-04 20:30:00,50.36697,-48.02241,12,18,0,1,290,0.02,13.5,7,6.348,33.73,281.3,92,6.36,982.5,4.9,205,13,16,0,1,
2019-12-04 21:30:00,50.35761,-47.97897,13,20,0,2,270,0.02,13.4,7,6.407,33.77,280.9,92,6.42,984.4,5.1,205,12,15,153,1,
2019-12-04 22:30:00,50.37429,-48.02676,13,22,0,1,300,0.02,13.4,7,6.454,33.81,279.3,91.5,6.47,982.7,4.7,220,13,16,295,1,
2019-12-04 23:30:00,50.38089,-48.03825,12,24,0,1,350,0.02,13.3,7,6.474,33.83,279.3,91.5,6.49,982.5,4.3,0,24,24,294,0,
2019-12-05 00:30:00,50.40663,-48.09726,41,26,0,1,380,0.02,13.3,7,5.413,32.91,286.3,91.5,5.43,981.2,3.8,0,11,11,299,0,
