Time,Lat,Long,TTFF,Count,Commands,TxTries,ONT,I,V,Temperature,AirmarAirTemp,AirmarWindDirection,AirmarWindSpeed,AirmarWindGust,AirmarHeading,AirmarAirFix,MOSE_OnMin,Hs,Ts,T0,Hmax,Err,
2020-03-04 14:10:00,47.7099,-52.96875,26,5,1,3,500,0.018,13.6,4,0,0,1,1,124,0,5,0,0,0,0,0,
2020-03-04 14:20:00,47.71161,-52.96956,26,6,0,1,500,0.018,13.5,5,0.2,0,1,1,119,0,5,0,0,0,0,0,
2020-03-04 14:30:00,47.71251,-52.97073,26,7,1,2,500,0.018,13.5,5,0.2,0,1,1,226,0,5,0,0,0,0,0,
2020-03-04 14:40:00,47.7129,-52.97073,26,8,0,1,500,0.018,13.5,5,0,0,1,1,264,0,5,0,0,0,0,0,
2020-03-04 14:50:00,47.71353,-52.97025,26,9,0,1,500,0.018,13.5,4,0.2,0,3,3,105,0,5,0,0,0,0,0,
2020-03-04 15:00:00,47.71473,-52.96893,26,10,4,1,920,0.018,13.4,4,0.3,0,4,4,97,0,10,0.8,10.25,5.75,1.2,0,
2020-03-04 15:20:00,47.71749,-52.968,26,11,0,1,920,0.018,13.5,3,0.6,0,4,4,79,0,10,1.1,12.25,8,1.3,0,
2020-03-04 15:40:00,47.7204,-52.96773,26,12,0,1,920,0.018,13.8,3,0.5,0,3,3,96,0,10,0.9,10.5,5.5,1.7,0,
2020-03-04 16:00:00,47.72343,-52.96722,42,13,1,1,1240,0.018,13.6,3,0.5,150,5,7,116,1,10,0.9,9,4.25,1.4,0,
2020-03-04 16:30:00,47.72757,-52.96158,26,14,0,1,1220,0.018,13.6,2,0.6,0,4,4,125,0,10,0.9,7.25,4.75,1.6,0,
2020-03-04 17:00:00,47.73132,-52.95711,26,15,0,1,1220,0.018,13.6,2,1.2,0,7,7,119,0,10,0.8,6.75,4,1.7,0,
2020-03-04 17:30:00,47.7351,-52.95177,26,16,0,1,1220,0.018,13.5,2,1.8,0,6,6,126,0,10,0.8,9.5,4.75,1.2,0,
2020-03-04 18:00:00,47.73726,-52.94508,26,17,0,1,1220,0.018,13.6,2,1.5,0,8,8,129,0,10,1,9.5,5.25,1.5,0,
2020-03-04 18:30:00,47.74002,-52.93875,26,18,1,1,1220,0.018,13.6,1,2.2,0,5,5,134,0,10,0.7,6,4.25,1,0,
2020-03-04 19:00:00,47.74863,-52.93335,26,19,0,1,1220,0.018,13.4,2,2.9,0,11,11,90,0,10,0.9,9.75,5.75,1.3,0,
2020-03-04 19:30:00,47.75934,-52.92081,26,20,0,1,1220,0.018,13.3,2,3.5,0,5,5,320,0,10,0.8,6.25,4,1.4,0,
2020-03-04 20:00:00,47.76774,-52.90734,42,21,0,1,1240,0.018,13.3,2,3.4,0,12,12,313,0,10,1.2,6.25,4.75,1.8,0,
2020-03-04 20:30:00,47.77674,-52.9119,26,22,0,1,1220,0.018,13.3,1,3.3,0,12,12,115,0,10,1.3,7.75,5,1.5,2,
2020-03-04 21:00:00,47.78244,-52.8975,43,23,0,1,1240,0.018,13.3,1,3.4,0,14,14,125,0,10,1.5,5.5,4.75,1.8,4,
2020-03-04 21:30:00,47.78757,-52.89942,26,24,0,1,1220,0.018,13.2,1,3.4,0,19,19,129,0,10,1.8,6.75,4.75,2.3,4,
2020-03-04 22:00:00,47.79051,-52.88574,26,25,0,1,1220,0.018,13.2,1,3.3,0,18,18,289,0,10,1.9,6,5,2.7,5,
2020-03-04 22:30:00,47.79813,-52.89651,26,26,0,1,1220,0.02,13.2,1,3.4,0,21,21,140,0,10,1.7,6.5,5,2.3,5,
2020-03-04 23:00:00,47.80455,-52.89312,26,27,0,1,1220,0.018,13.2,1,2.7,0,15,15,136,0,10,1.9,5,4.5,3,0,
2020-03-04 23:30:00,47.80929,-52.88115,26,28,0,1,1220,0.018,13.2,1,2.3,0,12,12,143,0,10,1.5,7,4.75,2.2,0,
2020-03-05 00:00:00,47.81202,-52.86831,42,29,0,1,1240,0.018,13.2,1,1.9,0,11,11,132,0,10,1.4,5.75,4.5,2.3,0,
2020-03-05 00:30:00,47.81589,-52.85976,26,30,0,1,1220,0.018,13.2,1,0.8,0,13,13,269,0,10,1.7,6.5,4.5,2.3,0,
2020-03-05 01:00:00,47.81988,-52.8549,26,31,0,1,1220,0.018,13.2,1,0.4,0,13,13,165,0,10,1.7,6.25,4.5,2.4,0,
2020-03-05 01:30:00,47.82465,-52.84632,26,32,0,1,1220,0.018,13.2,1,0.4,0,54,54,173,0,10,1.7,7.5,5.5,2.6,0,
2020-03-05 02:00:00,47.83278,-52.84059,26,33,0,1,1220,0.018,13.2,1,0.3,0,12,12,157,0,10,1.7,7,5.5,2.6,1,
2020-03-05 02:30:00,47.83644,-52.8312,26,34,0,1,1220,0.018,13.2,1,0,0,10,10,152,0,10,1.6,5.5,5,2.1,0,
2020-03-05 03:00:00,47.8371,-52.81647,42,35,0,2,1240,0.018,13.2,1,0,0,16,16,313,0,10,1.6,5,4,2.7,0,
2020-03-05 03:30:00,47.84403,-52.81389,26,36,0,1,1220,0.018,13.2,1,-0.1,0,14,14,142,0,10,1.5,5.75,4,2.3,0,
2020-03-05 04:00:00,47.84574,-52.80027,26,37,0,1,1220,0.018,13.2,1,0,0,15,15,309,0,10,1.9,6,4.75,2.7,0,
2020-03-05 04:30:00,47.8503,-52.79841,26,38,0,1,1220,0.018,13.2,1,-0.2,0,11,11,288,0,10,1.9,7.25,4.75,3,1,
2020-03-05 05:00:00,47.85378,-52.79418,43,39,0,1,1240,0.018,13.2,1,-0.3,0,13,13,312,0,10,1.7,5.5,4.75,2.1,2,
