lon,lat,u,v,time
-50.1384817,53.3678317,0,0,1404559190
-50.138835,53.3674583,NaN,NaN,1404559230
-50.1388617,53.3674283,NaN,NaN,1404559230
-50.1388767,53.3674117,NaN,NaN,1404559240
-50.138905,53.3673867,NaN,NaN,1404559240
-50.13894,53.3673733,NaN,NaN,1404559250
-50.13896,53.3673467,NaN,NaN,1404559250
-50.138925,53.3673283,NaN,NaN,1404559250
-50.1389117,53.3672933,NaN,NaN,1404559260
-50.1389717,53.36729,NaN,NaN,1404559260
-50.1390367,53.367255,NaN,NaN,1404559270
-50.1390533,53.36725,NaN,NaN,1404559280
-50.1390617,53.3672167,NaN,NaN,1404559280
-50.1390833,53.3672033,NaN,NaN,1404559290
-50.1391083,53.367175,NaN,NaN,1404559290
-50.1391367,53.3671583,NaN,NaN,1404559300
-50.1391483,53.3671417,NaN,NaN,1404559300
-50.139175,53.3671117,NaN,NaN,1404559310
-50.1391967,53.3670883,NaN,NaN,1404559310
-50.1392133,53.3670667,NaN,NaN,1404559310
-50.1392233,53.3670467,NaN,NaN,1404559320
-50.139245,53.3670167,NaN,NaN,1404559330
-50.1392383,53.3670133,NaN,NaN,1404559330
-50.1393283,53.36699,NaN,NaN,1404559340
-50.139305,53.3669433,NaN,NaN,1404559340
-50.13925,53.3669017,NaN,NaN,1404559350
-50.1391967,53.36686,NaN,NaN,1404559350
-50.1391417,53.3668183,NaN,NaN,1404559360
-50.1390883,53.3667767,NaN,NaN,1404559360
-50.1390333,53.366735,NaN,NaN,1404559370
-50.1406817,53.366035,NaN,NaN,1404559650
-50.1407383,53.3660033,-0.69142,-0.227193,1404560180
-50.143425,53.3637567,NaN,NaN,1404560210
-50.14349,53.3637117,NaN,NaN,1404560220
-50.143505,53.3636933,NaN,NaN,1404560230
-50.1435483,53.3636783,NaN,NaN,1404560230
-50.1435633,53.3636467,NaN,NaN,1404560240
-50.1435717,53.36361,NaN,NaN,1404560240
-50.1436167,53.363605,NaN,NaN,1404560240
-50.1436433,53.363595,NaN,NaN,1404560250
-50.1436567,53.3635783,NaN,NaN,1404560260
-50.14367,53.36356,NaN,NaN,1404560260
-50.1436717,53.363535,NaN,NaN,1404560270
-50.143685,53.3635183,NaN,NaN,1404560270
-50.1436883,53.3635133,NaN,NaN,1404560280
-50.14373,53.363485,NaN,NaN,1404560280
-50.1437483,53.36346,NaN,NaN,1404560290
-50.1438167,53.363465,NaN,NaN,1404560290
-50.14385,53.36344,NaN,NaN,1404560290
-50.1438433,53.3634283,NaN,NaN,1404560300
-50.1438667,53.36339,NaN,NaN,1404560310
-50.1439417,53.3633783,NaN,NaN,1404560310
