time,lon,lat
1473527600,-56.4796,53.9902
1473528984,-56.4792,53.9896
1473530082,-56.4788,53.9890
1473530838,-56.4784,53.9881
1473538234,-56.4314,53.9940
1473541155,-56.4295,53.9915
1473542038,-56.4297,53.9929
1473546369,-56.4309,53.9919
1473547272,-56.4303,53.9928
1473550257,-56.4294,53.9934
1473557593,-56.3818,54.0067
1473557733,-56.3809,54.0069
1473559619,-56.3788,54.0082
1473565663,-56.3564,54.0257
1473566446,-56.3546,54.0263
1473568251,-56.3599,54.0292
1473568900,-56.3587,54.0295
1473576987,-56.2976,54.0358
1473577842,-56.2942,54.0359
1473587763,-56.2232,54.0553
1473588498,-56.2210,54.0553
1473598608,-56.1462,54.0768
1473599589,-56.1469,54.0766
1473609457,-56.1999,54.0542
1473610349,-56.2024,54.0539
1473620055,-56.2614,54.0406
1473621407,-56.2607,54.0419
1473631641,-56.1994,54.0639
1473632464,-56.1968,54.0651
1473639659,-56.1508,54.0815
1473640657,-56.1491,54.0843
1473642457,-56.1415,54.0887
1473643530,-56.1413,54.0917
1473653267,-56.1025,54.1320
1473656587,-56.0978,54.1444
1473667201,-56.0478,54.1989
1473668406,-56.0426,54.2028
1473677999,-55.9578,54.2312
1473679196,-55.9496,54.2305
1473684498,-55.9513,54.2234
1473685704,-55.9469,54.2244
1473688818,-55.9378,54.2381
1473689631,-55.9347,54.2393
1473698484,-55.9063,54.2731
1473700423,-55.8997,54.2727
1473708496,-55.8855,54.2856
1473709332,-55.8825,54.2853
1473721354,-55.8710,54.2993
1473723092,-55.8546,54.2910
1473745140,-55.7462,54.2867
1473747112,-55.7365,54.2863
1473748114,-55.7316,54.2861
1473750057,-55.7221,54.2857
1473757519,-55.6854,54.2842
1473760789,-55.6700,54.2834
1473782836,-55.6071,54.2756
1473784142,-55.5996,54.2725
1473785664,-55.5942,54.2735
1473787352,-55.5862,54.2681
1473809445,-55.5291,54.2708
1473812682,-55.5331,54.2602
1473813517,-55.5342,54.2585
1473814498,-55.5352,54.2568
1473836510,-55.5203,54.1951
1473838319,-55.5191,54.1900
1473860300,-55.5043,54.1285
1473865214,-55.5046,54.1134
1473872792,-55.5302,54.0941
1473875691,-55.5394,54.0872
1473897698,-55.5454,54.0278
1473901749,-55.5414,54.0166
1473902983,-55.5376,54.0153
1473904310,-55.5332,54.0141
1473905535,-55.5290,54.0131
1473906212,-55.5270,54.0123
1473906454,-55.5266,54.0115
1473906732,-55.5262,54.0106
1473906936,-55.5260,54.0100
1473907236,-55.5257,54.0090
1473907471,-55.5255,54.0084
1473907706,-55.5253,54.0077
1473907911,-55.5251,54.0071
1473909539,-55.5270,54.0026
1473910001,-55.5269,54.0019
1473910626,-55.5266,54.0009
1473911237,-55.5255,54.0001
1473911675,-55.5250,53.9993
1473911872,-55.5248,53.9988
1473912138,-55.5251,53.9982
1473912299,-55.5250,53.9979
1473912538,-55.5251,53.9973
1473912739,-55.5250,53.9969
1473913020,-55.5250,53.9963
1473913206,-55.5251,53.9960
1473913441,-55.5255,53.9956
1473913600,-55.5253,53.9953
1473914439,-55.5229,53.9949
1473915561,-55.5186,53.9947
1473916170,-55.5170,53.9945
1473916331,-55.5170,53.9944
1473916591,-55.5173,53.9942
1473916754,-55.5172,53.9941
1473916999,-55.5174,53.9939
1473917156,-55.5174,53.9939
1473917369,-55.5173,53.9938
1473917565,-55.5173,53.9937
1473918056,-55.5171,53.9937
1473918581,-55.5159,53.9939
1473918995,-55.5154,53.9939
1473919185,-55.5153,53.9939
1473919462,-55.5155,53.9937
1473919612,-55.5154,53.9937
1473919871,-55.5155,53.9935
1473920039,-55.5155,53.9935
1473920289,-55.5158,53.9932
1473920425,-55.5156,53.9932
1473921283,-55.5134,53.9932
1473922414,-55.5092,53.9936
1473923020,-55.5074,53.9935
1473923156,-55.5073,53.9934
1473923740,-55.5055,53.9934
1473924470,-55.5029,53.9936
1473924959,-55.5018,53.9937
1473925157,-55.5016,53.9936
1473925634,-55.5004,53.9937
1473926123,-55.4983,53.9940
1473926815,-55.4959,53.9942
