time,lon,lat
20160910_171320,-56.4796,53.9902
20160910_173624,-56.4792,53.9896
20160910_175442,-56.4788,53.989
20160910_180718,-56.4784,53.9881
20160910_201034,-56.4314,53.994
20160910_205915,-56.4295,53.9915
20160910_211358,-56.4297,53.9929
20160910_222609,-56.4309,53.9919
20160910_224112,-56.4303,53.9928
20160910_233057,-56.4294,53.9934
20160911_013313,-56.3818,54.0067
20160911_013533,-56.3809,54.0069
20160911_020659,-56.3788,54.0082
20160911_034743,-56.3564,54.0257
20160911_040046,-56.3546,54.0263
20160911_043051,-56.3599,54.0292
20160911_044140,-56.3587,54.0295
20160911_065627,-56.2976,54.0358
20160911_071042,-56.2942,54.0359
20160911_095603,-56.2232,54.0553
20160911_100818,-56.221,54.0553
20160911_125648,-56.1462,54.0768
20160911_131309,-56.1469,54.0766
20160911_155737,-56.1999,54.0542
20160911_161229,-56.2024,54.0539
20160911_185415,-56.2614,54.0406
20160911_191647,-56.2607,54.0419
20160911_220721,-56.1994,54.0639
20160911_222104,-56.1968,54.0651
20160912_002059,-56.1508,54.0815
20160912_003737,-56.1491,54.0843
20160912_010737,-56.1415,54.0887
20160912_012530,-56.1413,54.0917
20160912_040747,-56.1025,54.132
20160912_050307,-56.0978,54.1444
20160912_080001,-56.0478,54.1989
20160912_082006,-56.0426,54.2028
20160912_105959,-55.9578,54.2312
20160912_111956,-55.9496,54.2305
20160912_124818,-55.9513,54.2234
20160912_130824,-55.9469,54.2244
20160912_140018,-55.9378,54.2381
20160912_141351,-55.9347,54.2393
20160912_164124,-55.9063,54.2731
20160912_171343,-55.8997,54.2727
20160912_192816,-55.8855,54.2856
20160912_194212,-55.8825,54.2853
20160912_230234,-55.871,54.2993
20160912_233132,-55.8546,54.291
20160913_053900,-55.7462,54.2867
20160913_061152,-55.7365,54.2863
20160913_062834,-55.7316,54.2861
20160913_070057,-55.7221,54.2857
20160913_090519,-55.6854,54.2842
20160913_095949,-55.67,54.2834
20160913_160716,-55.6071,54.2756
20160913_162902,-55.5996,54.2725
20160913_165424,-55.5942,54.2735
20160913_172232,-55.5862,54.2681
20160913_233045,-55.5291,54.2708
20160914_002442,-55.5331,54.2602
20160914_003837,-55.5342,54.2585
20160914_005458,-55.5352,54.2568
20160914_070150,-55.5203,54.1951
20160914_073159,-55.5191,54.19
20160914_133820,-55.5043,54.1285
20160914_150014,-55.5046,54.1134
20160914_170632,-55.5302,54.0941
20160914_175451,-55.5394,54.0872
20160915_000138,-55.5454,54.0278
20160915_010909,-55.5414,54.0166
20160915_012943,-55.5376,54.0153
20160915_015150,-55.5332,54.0141
20160915_021215,-55.529,54.0131
20160915_022332,-55.527,54.0123
20160915_022734,-55.5266,54.0115
20160915_023212,-55.5262,54.0106
20160915_023536,-55.526,54.01
20160915_024036,-55.5257,54.009
20160915_024431,-55.5255,54.0084
20160915_024826,-55.5253,54.0077
20160915_025151,-55.5251,54.0071
20160915_031859,-55.527,54.0026
20160915_032641,-55.5269,54.0019
20160915_033706,-55.5266,54.0009
20160915_034717,-55.5255,54.0001
20160915_035435,-55.525,53.9993
20160915_035752,-55.5248,53.9988
20160915_040218,-55.5251,53.9982
20160915_040459,-55.525,53.9979
20160915_040858,-55.5251,53.9973
20160915_041219,-55.525,53.9969
20160915_041700,-55.525,53.9963
20160915_042006,-55.5251,53.996
20160915_042401,-55.5255,53.9956
20160915_042640,-55.5253,53.9953
20160915_044039,-55.5229,53.9949
20160915_045921,-55.5186,53.9947
20160915_050930,-55.517,53.9945
20160915_051211,-55.517,53.9944
20160915_051631,-55.5173,53.9942
20160915_051914,-55.5172,53.9941
20160915_052319,-55.5174,53.9939
20160915_052556,-55.5174,53.9939
20160915_052929,-55.5173,53.9938
20160915_053245,-55.5173,53.9937
20160915_054056,-55.5171,53.9937
20160915_054941,-55.5159,53.9939
20160915_055635,-55.5154,53.9939
20160915_055945,-55.5153,53.9939
20160915_060422,-55.5155,53.9937
20160915_060652,-55.5154,53.9937
20160915_061111,-55.5155,53.9935
20160915_061359,-55.5155,53.9935
20160915_061809,-55.5158,53.9932
20160915_062025,-55.5156,53.9932
20160915_063443,-55.5134,53.9932
20160915_065334,-55.5092,53.9936
20160915_070340,-55.5074,53.9935
20160915_070556,-55.5073,53.9934
20160915_071540,-55.5055,53.9934
20160915_072750,-55.5029,53.9936
20160915_073559,-55.5018,53.9937
20160915_073917,-55.5016,53.9936
20160915_074714,-55.5004,53.9937
20160915_075523,-55.4983,53.994
20160915_080655,-55.4959,53.9942
20160915_081841,-55.4927,53.9945
20160915_083247,-55.4894,53.9947
20160915_084518,-55.4858,53.995
20160915_085752,-55.4826,53.9955
20160915_090720,-55.4796,53.9958
20160915_093545,-55.4758,53.9949
20160915_095306,-55.4705,53.9954
20160915_101132,-55.4651,53.9959
20160915_102759,-55.4597,53.9965
20160915_104541,-55.4542,53.9972
20160915_110118,-55.4488,53.9979
20160915_111740,-55.4433,53.9987
20160915_113235,-55.4378,53.9993
20160915_114900,-55.4318,54.0
20160915_120318,-55.4266,54.0005
20160915_121944,-55.421,54.001
20160915_123355,-55.4157,54.0012
20160915_124856,-55.4104,54.0015
20160915_130227,-55.4055,54.0018
20160915_131846,-55.3999,54.0017
20160915_133233,-55.3955,54.0023
20160915_134733,-55.3908,54.0026
20160915_140014,-55.3867,54.003
20160915_141602,-55.382,54.0033
20160915_142815,-55.3781,54.0035
20160915_144113,-55.3739,54.0038
20160915_145345,-55.3699,54.0041
20160915_150637,-55.366,54.0046
20160915_151658,-55.363,54.0047
20160915_155011,-55.3587,54.003
20160915_160212,-55.3564,54.0039
20160915_161514,-55.3543,54.0048
20160915_162642,-55.3522,54.0058
20160915_163933,-55.3501,54.0069
20160915_165105,-55.3482,54.0079
20160915_170416,-55.3465,54.0087
20160915_171553,-55.3452,54.0099
20160915_172942,-55.3442,54.0112
20160915_174135,-55.3432,54.0125
20160915_175454,-55.3425,54.0139
20160915_180627,-55.3415,54.0154
20160915_182046,-55.3412,54.0171
20160915_183236,-55.3402,54.0187
20160915_184509,-55.3391,54.0204
20160915_185707,-55.3381,54.022
20160915_191143,-55.3379,54.023
20160915_192350,-55.3371,54.0252
20160915_193830,-55.3368,54.0274
20160915_195034,-55.3361,54.0292
20160915_200444,-55.3361,54.0311
20160915_201623,-55.335,54.0326
20160915_203009,-55.3343,54.0344
20160915_204219,-55.333,54.0359
20160915_205549,-55.3325,54.0377
20160915_210724,-55.3308,54.0391
20160915_212122,-55.3293,54.0406
20160915_213327,-55.3276,54.0421
20160915_220308,-55.3277,54.0451
20160915_221527,-55.3256,54.0466
20160915_222940,-55.3234,54.0484
20160915_224124,-55.3211,54.0498
20160915_225622,-55.3183,54.0516
20160915_230900,-55.3158,54.0531
20160915_232327,-55.3129,54.0548
20160915_233538,-55.3104,54.0563
20160915_235035,-55.3074,54.0578
20160916_000254,-55.3048,54.0592
20160916_001629,-55.302,54.0605
20160916_002828,-55.2994,54.0618
20160916_004304,-55.2963,54.0631
20160916_005512,-55.2939,54.0644
20160916_010940,-55.2908,54.0658
20160916_012208,-55.2883,54.067
20160916_013521,-55.2853,54.0684
20160916_014659,-55.283,54.0694
20160916_015932,-55.2807,54.0705
20160916_021150,-55.2784,54.0716
20160916_022518,-55.2758,54.0727
20160916_023803,-55.2734,54.0738
20160916_025243,-55.2712,54.0751
20160916_030516,-55.2693,54.0763
20160916_031854,-55.267,54.0775
20160916_033057,-55.2652,54.0787
20160916_034431,-55.2626,54.08
20160916_035643,-55.261,54.0811
20160916_041623,-55.2591,54.0822
20160916_042848,-55.2575,54.0833
20160916_044259,-55.2556,54.0846
20160916_045513,-55.2542,54.0858
20160916_050858,-55.2526,54.0873
20160916_052133,-55.2512,54.0886
20160916_053520,-55.2497,54.0901
20160916_054747,-55.2483,54.0915
20160916_060233,-55.2469,54.0931
20160916_061514,-55.2456,54.0945
20160916_062909,-55.2441,54.096
20160916_064202,-55.2426,54.0975
20160916_065636,-55.2412,54.0992
20160916_070925,-55.2395,54.1007
20160916_072242,-55.2379,54.1023
20160916_073548,-55.2362,54.1038
20160916_075209,-55.2348,54.1056
20160916_080450,-55.2332,54.1072
20160916_081901,-55.2314,54.1089
20160916_083216,-55.2292,54.1104
20160916_084631,-55.2269,54.1119
20160916_085953,-55.2245,54.1133
20160916_091444,-55.2217,54.115
20160916_092809,-55.219,54.1162
20160916_094215,-55.2145,54.1174
20160916_095516,-55.2126,54.1187
20160916_101648,-55.2097,54.1207
20160916_103003,-55.2069,54.1216
20160916_104405,-55.2037,54.1227
20160916_105657,-55.2003,54.1236
20160916_111232,-55.1963,54.1247
20160916_112618,-55.1924,54.1257
20160916_114157,-55.1882,54.1267
20160916_115444,-55.1845,54.1274
20160916_120919,-55.1803,54.1281
20160916_122209,-55.1763,54.1288
20160916_123655,-55.1719,54.1295
20160916_125006,-55.168,54.13
20160916_130536,-55.1636,54.1305
20160916_131844,-55.1596,54.1309
20160916_133307,-55.1553,54.1312
20160916_134636,-55.1513,54.1315
20160916_140157,-55.1466,54.1316
20160916_141500,-55.1429,54.1316
20160916_142956,-55.1386,54.1316
20160916_144313,-55.135,54.1318
20160916_145756,-55.1314,54.1318
20160916_151155,-55.1277,54.132
20160916_152636,-55.1238,54.132
20160916_153936,-55.1209,54.1322
20160916_155020,-55.1182,54.132
20160916_155656,-55.1164,54.1319
20160916_162623,-55.1101,54.1288
20160916_164003,-55.1088,54.1291
20160916_165557,-55.1071,54.1291
20160916_170940,-55.1057,54.1297
20160916_172508,-55.1038,54.13
20160916_173909,-55.1031,54.1308
20160916_175416,-55.1023,54.1314
20160916_180739,-55.1015,54.1322
20160916_182359,-55.1011,54.1328
20160916_183756,-55.1007,54.134
20160916_185419,-55.1005,54.1349
20160916_190828,-55.1001,54.1361
20160916_192322,-55.0999,54.1375
20160916_193711,-55.0997,54.139
20160916_195211,-55.0997,54.1405
20160916_200541,-55.0996,54.1421
20160916_202044,-55.0995,54.144
20160916_203403,-55.0993,54.1456
20160916_204942,-55.0992,54.1473
20160916_210259,-55.0985,54.149
20160916_211810,-55.0977,54.1506
20160916_213137,-55.0967,54.1523
20160916_214635,-55.0956,54.1543
20160916_220017,-55.0946,54.1561
20160916_221123,-55.0948,54.1575
20160916_221930,-55.0947,54.1588
20160916_224947,-55.0951,54.1621
20160916_230333,-55.0925,54.1626
20160916_231850,-55.0894,54.163
20160916_233250,-55.0861,54.1635
20160916_234835,-55.0826,54.1639
20160917_000303,-55.0789,54.1641
20160917_001730,-55.0749,54.1643
20160917_003047,-55.0707,54.1644
20160917_004550,-55.066,54.1645
20160917_005920,-55.0619,54.1645
20160917_011334,-55.0578,54.1642
20160917_012623,-55.0534,54.1643
20160917_014155,-55.0487,54.1642
20160917_015521,-55.0447,54.164
20160917_021116,-55.0405,54.1638
20160917_022510,-55.0366,54.1637
20160917_024050,-55.0326,54.1634
20160917_025453,-55.0288,54.1633
20160917_031006,-55.0252,54.1634
20160917_032316,-55.0221,54.1636
20160917_033730,-55.0188,54.1637
20160917_035124,-55.0156,54.1639
20160917_040557,-55.0109,54.1638
20160917_041936,-55.0088,54.1644
20160917_043306,-55.0068,54.1648
20160917_044333,-55.0046,54.165
20160917_050421,-55.0017,54.1654
20160917_051823,-54.9998,54.1658
20160917_053316,-54.9984,54.1664
20160917_054628,-54.9965,54.1668
20160917_060241,-54.9944,54.1672
20160917_061738,-54.9927,54.1681
20160917_063336,-54.9908,54.1691
